Date,Open,High,Low,Close,Adj Close,Volume
2012-05-10,69.300003,69.300003,68.099998,69.099998,51.138996,14140934
2012-05-11,69.099998,69.099998,67.949997,68.400002,50.620953,20418694
2012-05-14,68.599998,68.75,67.599998,67.699997,50.10289,15497604
2012-05-15,67.75,68.949997,67.75,68.800003,50.916969,13774799
2012-05-16,67.400002,67.449997,66.199997,66.449997,49.682091,25381600
2012-05-17,66.349998,67.050003,65.550003,65.800003,49.196121,21789800
2012-05-18,63,64,62.599998,63.75,47.663414,37233675
2012-05-21,63.200001,63.299999,62.549999,63.099998,47.177437,17278583
2012-05-22,63.400002,63.950001,63.200001,63.5,47.476501,16571190
2012-05-23,63.099998,63.349998,62.450001,62.75,46.915752,22617207
2012-05-24,62.25,62.799999,62.049999,62.150002,46.467159,13365918
2012-05-25,62.900002,63.099998,62.5,62.700001,46.87838,12062912
2012-05-28,62.950001,63.200001,62.599998,62.799999,46.953136,10270540
2012-05-29,62.25,63.049999,62.099998,63,47.102661,12317431
2012-05-30,62.349998,62.349998,61.099998,61.25,45.794266,28183375
2012-05-31,60.799999,61.450001,60.25,61.25,45.794266,17172125
2012-06-01,60.5,61.25,60.5,60.849998,45.495201,26204161
2012-06-04,60,60.400002,59.799999,60.150002,44.971832,20231955
2012-06-05,60.700001,60.900002,60,60.349998,45.121357,8218673
2012-06-06,61,62,61,61.900002,46.280247,11996067
2012-06-07,63.599998,63.950001,63.049999,63.200001,47.252201,20153186
2012-06-08,63.950001,63.950001,62.849998,63,47.102661,16305800
2012-06-11,65,65.050003,64.550003,64.849998,48.485836,15718697
2012-06-12,63.700001,64.550003,63.700001,64.349998,48.112015,7418291
2012-06-13,65,65.5,64.650002,65.400002,48.897057,18141614
2012-06-14,65.199997,65.599998,65.150002,65.25,48.784908,13937301
2012-06-15,65.550003,66.900002,65.550003,66.800003,49.943798,21033570
2012-06-18,67.599998,68.050003,67.099998,67.449997,50.429764,18472847
2012-06-19,66.699997,67.150002,66.400002,66.900002,50.018547,18053654
2012-06-20,68.300003,68.75,67.949997,68.449997,51.177429,29868820
2012-06-21,68.900002,68.900002,67.949997,68.25,51.027882,20756951
2012-06-22,67.300003,67.75,67.199997,67.449997,50.429764,12998054
2012-06-25,67.900002,68.099998,67.550003,67.800003,50.691452,19175943
2012-06-26,67.349998,68.300003,67.300003,68.199997,50.990501,14740719
2012-06-27,67.650002,68.699997,67.650002,68.400002,51.140049,12794227
2012-06-28,69.050003,69.199997,68.050003,68.150002,50.953129,20350490
2012-06-29,67.400002,69.400002,67.199997,68.550003,51.252197,30881138
2012-07-03,68.550003,69.5,68.550003,69.5,51.962471,14337261
2012-07-04,69.300003,69.400002,68.199997,68.599998,51.289566,8574986
2012-07-05,68.5,69.150002,68.25,68.949997,51.55125,9944714
2012-07-06,68.400002,68.75,68.150002,68.449997,51.177429,11286616
2012-07-09,68.199997,68.5,67.650002,67.699997,50.616673,7175613
2012-07-10,68.400002,68.400002,67.699997,67.75,50.654057,7151796
2012-07-11,67.75,68.25,67.550003,68.099998,50.915741,6485365
2012-07-12,68.5,68.5,66.900002,67.099998,50.168079,11839167
2012-07-13,66.349998,66.699997,66.050003,66.550003,49.756874,13622212
2012-07-16,67.400002,67.449997,66.849998,67.099998,50.168079,9435782
2012-07-17,67.150002,68.400002,67.150002,67.949997,50.803589,11613884
2012-07-18,66.949997,67,66.150002,66.550003,49.756874,16085141
2012-07-19,66.699997,67.699997,66.550003,66.900002,50.018547,20663082
2012-07-20,67,67.199997,66.400002,66.900002,50.018547,9954128
2012-07-23,64.400002,64.550003,62.900002,63.099998,47.177437,38670270
2012-07-24,64,64,61.900002,62.049999,46.392384,21382216
2012-07-25,61.349998,62.650002,61.099998,62.25,46.54192,21991520
2012-07-26,62.400002,62.599998,61.799999,62.5,46.72884,14103607
2012-07-27,63.900002,64.199997,63.75,64.150002,47.962486,22968902
2012-07-30,64.900002,65.349998,64.650002,65.25,48.784908,21360037
2012-07-31,65.800003,66.199997,65.400002,65.650002,49.083977,17412610
2012-08-01,64.849998,66,64.650002,65.699997,49.121353,18085025
2012-08-02,65,65.800003,65,65.650002,49.083977,7619093
2012-08-03,65.150002,65.75,64.650002,65.599998,49.046589,7997070
2012-08-06,67.800003,67.949997,66.949997,67.050003,50.130707,20259932
2012-08-07,67.699997,67.699997,67,67.349998,50.354996,15576274
2012-08-08,67.800003,67.800003,67,67.5,50.467148,11632265
2012-08-09,68.199997,68.5,68,68.400002,51.140049,17012223
2012-08-10,68,68.599998,68,68.400002,51.140049,12120340
2012-08-13,68.599998,68.800003,68.400002,68.650002,51.326965,8296836
2012-08-14,69,69.5,68.949997,69.5,51.962471,17475190
2012-08-15,68.099998,68.449997,67.800003,68.150002,51.469849,9311686
2012-08-16,68.650002,68.650002,67.949997,68.150002,51.469849,6710982
2012-08-17,69,69.150002,68.800003,69.099998,52.187344,14192521
2012-08-20,69.099998,69.199997,68.25,69.099998,52.187344,7830129
2012-08-21,68.900002,69.199997,68.25,69.150002,52.225098,6454608
2012-08-22,69.099998,69.099998,68.349998,68.75,51.922993,7778760
2012-08-23,69,69.449997,68.900002,69.349998,52.376137,10797883
2012-08-24,68.199997,68.449997,67.849998,68.300003,51.583145,9818593
2012-08-27,68.349998,68.349998,67.550003,68.050003,51.394321,6202852
2012-08-28,68.050003,68.5,67.949997,68.400002,51.658661,5650404
2012-08-29,68.400002,68.5,67.900002,68.199997,51.507618,5001797
2012-08-30,67.949997,67.949997,67.25,67.650002,51.092224,6871100
2012-08-31,67.599998,67.599998,67,67.099998,50.676857,6461695
2012-09-03,67.5,67.75,66.75,67.550003,51.016716,7094078
2012-09-04,67.599998,67.800003,67.349998,67.400002,50.903427,8806488
2012-09-05,66.800003,67,65.849998,66.199997,49.997135,17977475
2012-09-06,66.400002,67.400002,66.400002,67.25,50.790131,12916266
2012-09-07,68.5,69.449997,68.400002,68.900002,52.036285,39254932
2012-09-10,69.5,69.75,69.300003,69.449997,52.451672,17430902
2012-09-11,69.5,70,69.25,69.800003,52.716003,17807282
2012-09-12,70.099998,70.5,70,70.400002,53.169147,19808643
2012-09-13,70.849998,70.949997,70.550003,70.650002,53.357964,16762577
2012-09-14,71.849998,72.75,71.800003,72.699997,54.906219,37124279
2012-09-17,73.099998,73.5,72.849998,73.449997,55.472641,21434099
2012-09-18,73.449997,73.5,72.599998,72.900002,55.05727,19531966
2012-09-19,72.599998,74,72.599998,73.849998,55.774742,22388914
