Date,Open,High,Low,Close,Adj Close,Volume
2005-07-06,66.57,66.699997,65.400002,65.519997,36.071327,4849900
2005-07-07,64.400002,65.349998,64.160004,65.209999,35.900661,3871400
2005-07-08,65.989998,66.830002,65.959999,66.309998,36.506252,4535400
2005-07-11,66.260002,66.940002,66.120003,66.43,36.572315,3925700
2005-07-12,66.339996,66.410004,65.639999,65.699997,36.170414,5921900
2005-07-13,65.800003,66.029999,65.379997,65.699997,36.170414,2715200
2005-07-14,66.07,66.260002,64.800003,65.059998,35.818081,4519900
2005-07-15,65.080002,65.260002,64.910004,65.029999,35.801571,2840400
2005-07-18,65.400002,65.669998,65.25,65.489998,36.054798,2710700
2005-07-19,65.690002,65.959999,65.220001,65.959999,36.313557,3344600
2005-07-20,64.650002,65.650002,64.419998,65.529999,36.076836,3663900
2005-07-21,64.730003,65.019997,64.519997,64.839996,35.696953,2495900
2005-07-22,65.089996,65.949997,65.050003,65.949997,36.308052,2465900
2005-07-25,66.849998,67.339996,66.550003,66.879997,36.820057,4064700
2005-07-26,65.919998,66.099998,65.5,65.5,36.060303,2913100
2005-07-27,65.730003,66.449997,65.650002,66.230003,36.462208,3015600
2005-07-28,66.959999,66.959999,66.120003,66.550003,36.638382,4124300
2005-07-29,66.940002,66.989998,65.879997,65.879997,36.269512,3734900
2005-08-01,66.779999,67,66.370003,66.629997,36.682419,2828400
2005-08-02,66.970001,67.510002,66.970001,67.510002,37.166893,2533700
2005-08-03,68.510002,68.779999,68.099998,68.220001,37.557781,5077300
2005-08-04,68.07,68.669998,67.900002,68.029999,37.453167,3340800
2005-08-05,68.269997,68.290001,67.599998,67.900002,37.381618,2521500
2005-08-08,69.050003,69.699997,69.050003,69.199997,38.097301,3713400
2005-08-09,70.650002,70.779999,69.940002,70.18,38.636829,5171600
2005-08-10,70.620003,70.699997,70.059998,70.580002,39.156105,4104300
2005-08-11,71.050003,71.25,70.25,70.580002,39.156105,4420500
2005-08-12,70.849998,70.919998,70.400002,70.550003,39.139458,2710900
2005-08-15,69.900002,70.230003,69.68,69.919998,38.789963,2401800
2005-08-16,69.190002,69.559998,68.760002,68.760002,38.146412,3708100
2005-08-17,68.879997,69.550003,67.790001,67.959999,37.702591,4551200
2005-08-18,67.470001,67.660004,66.720001,67.199997,37.280968,3276900
2005-08-19,68.110001,68.199997,67.93,68.059998,37.758072,2539200
2005-08-22,68.050003,68.370003,67.279999,67.699997,37.558357,3419300
2005-08-23,67.459999,67.540001,66.989998,67.120003,37.23658,2990700
2005-08-24,67.099998,67.57,66.989998,67.400002,37.391918,3313900
2005-08-25,67.43,67.480003,66.839996,67.169998,37.264313,2217900
2005-08-26,67,67.129997,66.120003,66.120003,36.681808,2402300
2005-08-29,66.75,66.970001,65.849998,66.349998,36.809406,1898500
2005-08-30,66.080002,66.959999,66.029999,66.800003,37.059059,3252200
2005-08-31,67.589996,68.529999,67.339996,68.379997,37.935596,4391900
2005-09-01,69.650002,70.220001,69.610001,69.949997,38.806599,3468000
2005-09-02,69.830002,70.129997,69.419998,69.800003,38.723377,3182900
2005-09-06,70.230003,70.400002,69.860001,70.150002,38.917557,4018000
2005-09-07,69.690002,70.32,69.480003,69.510002,38.5625,3381600
2005-09-08,69.599998,69.849998,68.889999,69.099998,38.335037,3249500
2005-09-09,69.949997,70.889999,69.870003,70.739998,39.244858,3544100
2005-09-12,70.220001,70.32,69.589996,69.830002,38.740021,3562500
2005-09-13,68.910004,69.360001,68.800003,68.82,38.179695,3851800
2005-09-14,69.190002,69.400002,68.900002,69.169998,38.373867,3374700
2005-09-15,70.25,70.349998,69.349998,69.959999,38.812141,4280400
2005-09-16,70.900002,70.910004,70.400002,70.610001,39.172752,3077200
2005-09-19,71.279999,72.089996,71.269997,71.650002,39.749725,3237400
2005-09-20,72,72.269997,71.18,71.400002,39.611038,3930500
2005-09-21,72.32,72.660004,71.610001,71.900002,39.888416,3683900
2005-09-22,71.480003,71.879997,70.709999,71.370003,39.594387,3654500
2005-09-23,70.25,70.669998,70.07,70.480003,39.100632,2556100
2005-09-26,70.010002,71.32,69.870003,71.309998,39.5611,2988700
2005-09-27,70.919998,71.190002,70.760002,71.050003,39.416855,2211100
2005-09-28,71.730003,72.370003,71.370003,72.269997,40.093658,3411200
2005-09-29,72.370003,72.489998,72.040001,72.110001,40.004913,3711300
2005-09-30,71.699997,72,70.849998,70.849998,39.305889,2564100
2005-10-03,71.129997,71.25,70.440002,70.599998,39.167198,2348900
2005-10-04,69.75,69.82,68.620003,68.800003,38.168602,3696600
2005-10-05,67.75,67.970001,66.419998,66.5,36.892624,6317100
2005-10-06,66,66.300003,65.150002,65.599998,36.393318,7872100
2005-10-07,66.480003,66.610001,65.459999,65.870003,36.543118,4431400
2005-10-10,66.889999,66.93,65.57,66.400002,36.837143,4707200
2005-10-11,66.800003,67.199997,66.480003,67.099998,37.225487,3148800
2005-10-12,67.150002,67.150002,66.150002,66.419998,36.84824,2812300
2005-10-13,65,65.580002,64.620003,65.459999,36.315647,4135200
2005-10-14,65.610001,66.209999,64.93,66.209999,36.731731,3294300
2005-10-17,66.699997,66.790001,66.129997,66.629997,36.964752,2429300
2005-10-18,65.199997,65.400002,64.260002,64.260002,35.649925,4193600
2005-10-19,64.389999,65.400002,64.010002,65.339996,36.249077,5597800
2005-10-20,65.330002,65.339996,63.41,63.82,35.405823,5804700
2005-10-21,63.959999,64.900002,63.84,64.279999,35.661015,3381700
2005-10-24,64.769997,65.650002,64.650002,64.650002,35.86628,4143900
2005-10-25,65.410004,66.040001,65.099998,65.419998,36.293468,4153100
2005-10-26,66.330002,67.099998,65.949997,66.07,36.654076,4761200
2005-10-27,66.209999,66.389999,65.150002,65.150002,36.143661,3068500
2005-10-28,65.980003,66.5,65.309998,66.459999,36.87043,3619200
2005-10-31,67.209999,67.57,66.129997,66.400002,36.837143,6341100
2005-11-01,66.279999,66.599998,66.050003,66.25,36.753929,3180400
2005-11-02,66.290001,67.32,66.290001,67.300003,37.336437,3431700
2005-11-03,67.900002,68.870003,67.57,68.5,38.002171,4256300
2005-11-04,68.690002,68.709999,66.730003,66.870003,37.097885,4155200
2005-11-07,66.620003,66.75,66.150002,66.489998,36.88707,3324900
2005-11-08,65.760002,66.660004,65.760002,66.5,37.192444,2862300
2005-11-09,66.650002,66.650002,65.419998,65.599998,36.689075,3164000
2005-11-10,65.269997,65.279999,64.239998,64.300003,35.962009,3170300
2005-11-11,64.349998,64.870003,64.25,64.720001,36.196918,2031400
2005-11-14,65.419998,65.540001,65.040001,65.5,36.633156,2189000
2005-11-15,65.519997,66.220001,65.129997,65.260002,36.498928,3398500
2005-11-16,64.519997,65.25,64.309998,65.059998,36.38707,5028600
2005-11-17,66.150002,66.230003,65.300003,65.599998,36.689075,3463200
2005-11-18,66.599998,66.599998,65.860001,66.43,37.15329,3539800
2005-11-21,67.379997,67.690002,67.040001,67.580002,37.796474,2830600
2005-11-22,68.010002,68.5,67.82,68.389999,38.249485,3329700
2005-11-23,68.150002,68.300003,67.610001,67.849998,37.947472,2082400
2005-11-25,68.010002,68.129997,67.760002,67.830002,37.936283,640600
2005-11-28,67.330002,67.379997,66.110001,66.110001,36.974316,2564400
2005-11-29,66.489998,66.5,65.940002,65.970001,36.896023,2719900
2005-11-30,66.129997,66.489998,65.449997,65.839996,36.823296,2505400
2005-12-01,67.059998,68.080002,67,67.800003,37.919514,3795700
2005-12-02,68.150002,68.239998,67.690002,68.110001,38.092899,2394100
2005-12-05,68.599998,69.089996,68.459999,68.550003,38.338974,2730600
2005-12-06,68.169998,69.25,68.040001,68.760002,38.456432,2232000
2005-12-07,68.330002,68.379997,67.019997,67.330002,37.656643,3942300
2005-12-08,67.809998,68.5,67.57,68.419998,38.266266,3014000
2005-12-09,67.43,67.610001,66.809998,67.120003,37.539192,3400300
2005-12-12,67.300003,67.519997,66.900002,67.330002,37.656643,2756800
2005-12-13,67.629997,67.68,66.790001,66.879997,37.404961,4135000
2005-12-14,67.059998,67.349998,66.809998,67.25,37.611908,2812400
2005-12-15,66.599998,66.660004,65.75,66.25,37.052616,3390500
2005-12-16,66.540001,66.68,65.440002,65.720001,36.756203,3014600
2005-12-19,65.720001,65.959999,65.209999,65.279999,36.510124,2587900
2005-12-20,65.57,65.730003,64.93,65,36.353508,3729200
2005-12-21,65.629997,65.660004,65,65.099998,36.409424,4372800
2005-12-22,65.080002,65.239998,64.650002,64.769997,36.22488,1999200
2005-12-23,64.519997,65.110001,64.220001,64.800003,36.24165,1230900
2005-12-27,64.75,64.75,63.259998,63.330002,35.419506,2979200
2005-12-28,63.900002,64.5,63.830002,64.099998,35.850151,2397400
2005-12-29,64.260002,64.709999,64,64.199997,35.906086,1995200
2005-12-30,63.700001,64.510002,63.689999,64.220001,35.917274,1869500
2006-01-03,65.5,66.559998,65.470001,66.419998,37.147694,5786300
2006-01-04,66.949997,67,66.510002,66.849998,37.38818,4587500
2006-01-05,67.169998,67.199997,66.480003,66.5,37.192444,4222700
2006-01-06,67.949997,68.349998,67.82,68,38.031364,3946800
2006-01-09,68.449997,68.540001,67.879997,68.110001,38.092899,4124400
2006-01-10,68.099998,68.540001,68.029999,68.18,38.132027,2748700
2006-01-11,67.330002,68.169998,67.010002,67.900002,37.975437,3669100
2006-01-12,68.639999,69.07,67.690002,67.949997,38.003395,4397100
2006-01-13,68.699997,69.769997,68.699997,69.720001,38.99334,4853800
2006-01-17,70.099998,70.410004,69.769997,70.410004,39.379238,5097000
2006-01-18,70.209999,70.239998,68.940002,69.480003,38.859116,3418800
2006-01-19,69.68,70.330002,69.400002,70.290001,39.31213,3694000
2006-01-20,71.040001,71.139999,69.68,70.18,39.250614,4279500
2006-01-23,70.300003,70.919998,69.959999,70.75,39.569405,3475800
2006-01-24,71.059998,71.459999,70.339996,70.540001,39.451942,3361600
2006-01-25,71.260002,71.279999,69.699997,70.129997,39.222645,5119900
2006-01-26,70.330002,70.449997,69.650002,70.040001,39.172298,3802900
2006-01-27,71.059998,71.389999,70.639999,71.010002,39.714817,3356000
2006-01-30,72.300003,72.720001,72.089996,72.269997,40.41951,4556700
2006-01-31,72.860001,72.879997,72.040001,72.309998,40.441879,3768400
2006-02-01,71.989998,72.580002,71.010002,71.120003,39.776337,3516100
2006-02-02,70.919998,70.919998,69.589996,69.610001,38.931816,6089200
2006-02-03,69.589996,69.839996,69.099998,69.139999,38.668953,3145400
2006-02-06,70.209999,70.529999,69.389999,69.970001,39.13316,2448600
2006-02-07,67.75,68.150002,67.059998,67.5,37.75172,5089600
2006-02-08,67.330002,67.360001,66.599998,67.199997,37.583939,5860800
2006-02-09,67.75,68.199997,67.050003,67.260002,37.617496,3764600
2006-02-10,67.879997,68.080002,66.93,67.379997,37.684608,4645700
2006-02-13,67.160004,67.790001,66.970001,67.300003,37.63987,3045300
2006-02-14,66.650002,67.5,66.5,67.089996,37.522411,3475900
2006-02-15,67.800003,68.419998,66.730003,67.199997,37.583939,3932700
2006-02-16,67.559998,68.459999,67.559998,68.410004,38.260674,3072500
