Date,Open,High,Low,Close,Adj Close,Volume
2012-05-10,13.15,13.21,12.89,12.92,9.188402,982800
2012-05-11,12.75,12.88,12.5,12.82,9.117281,947000
2012-05-14,12.54,12.78,12.54,12.72,9.046166,1121700
2012-05-15,12.67,12.77,12.31,12.39,8.811478,681800
2012-05-16,12.49,12.57,12.05,12.06,8.57679,1436400
2012-05-17,12.14,12.21,11.27,11.47,8.157194,3200100
2012-05-18,11.48,11.55,11.03,11.1,7.894059,2458400
2012-05-21,11.21,11.73,11.13,11.34,8.064742,2046700
2012-05-22,11.37,11.79,11.34,11.59,8.242535,1647800
2012-05-23,11.41,11.59,11.3,11.58,8.235424,892000
2012-05-24,11.65,11.76,11.52,11.63,8.270983,587800
2012-05-25,11.67,11.83,11.63,11.7,8.320765,407700
2012-05-29,11.8,12.23,11.8,12.17,8.655018,1543000
2012-05-30,12.05,12.13,11.83,12.01,8.541231,1046700
2012-05-31,11.96,12.04,11.65,11.75,8.356322,720000
2012-06-01,11.42,11.9,11.36,11.74,8.349214,1387900
2012-06-04,11.75,11.86,11.7,11.81,8.398996,935900
2012-06-05,11.75,12.03,11.75,11.75,8.356322,529600
2012-06-06,11.83,12.11,11.8,11.98,8.519897,1189500
2012-06-07,12.18,12.25,11.88,11.9,8.462999,471000
2012-06-08,11.84,12.06,11.61,11.98,8.519897,757400
2012-06-11,12.05,12.2,11.89,11.92,8.477224,978800
2012-06-12,12.06,12.08,11.68,11.8,8.391883,921300
2012-06-13,11.66,11.97,11.65,11.87,8.441664,525300
2012-06-14,11.97,11.98,11.63,11.7,8.320765,441100
2012-06-15,11.81,12.04,11.74,12.02,8.548341,818000
2012-06-18,11.9,11.98,11.61,11.68,8.30654,1244600
2012-06-19,11.87,12.66,11.8,12.48,8.875483,3540000
2012-06-20,12.55,12.81,12.5,12.74,9.06039,1279100
2012-06-21,12.95,12.99,12.61,12.64,8.98927,2317600
2012-06-22,12.79,12.79,12.48,12.6,8.960824,423900
2012-06-25,12.33,12.46,12.2,12.42,8.832812,530100
2012-06-26,12.5,12.63,12.37,12.41,8.825702,479200
2012-06-27,12.08,12.63,12.08,12.54,8.918155,1473800
2012-06-28,12.47,12.62,12.37,12.61,8.967937,1537500
2012-06-29,12.87,13.01,12.74,12.89,9.167067,5044600
2012-07-02,13.09,13.43,13.03,13.15,9.351974,1706800
2012-07-03,13.21,13.35,13.15,13.29,9.451536,698400
2012-07-05,13.3,13.41,13.19,13.31,9.465762,427400
2012-07-06,13.16,13.35,13.05,13.23,9.408863,542100
2012-07-09,13.16,13.22,12.88,12.97,9.223961,1174300
2012-07-10,13.15,13.19,12.97,13.03,9.26663,803500
2012-07-11,13.11,13.13,13,13.08,9.302188,942900
2012-07-12,12.99,13.08,12.94,12.97,9.223961,628900
2012-07-13,13.07,13.14,13.01,13.11,9.323524,924300
2012-07-16,13.1,13.26,12.96,13.2,9.387532,1074500
2012-07-17,13.29,13.48,13.09,13.34,9.487097,756000
2012-07-18,13.23,13.67,13.01,13.6,9.672002,1151100
2012-07-19,13.57,14.25,13.57,14.1,10.027593,3110000
2012-07-20,13.94,14.12,13.94,14,9.956473,1127500
2012-07-23,13.72,13.96,13.54,13.88,9.87113,1465500
2012-07-24,14,14.15,13.89,14.06,9.999144,952300
2012-07-25,14.08,14.16,13.94,13.98,9.942249,965000
2012-07-26,14.1,14.32,14.04,14.25,10.134266,2063000
2012-07-27,14.95,14.95,14.12,14.28,10.155601,1876300
2012-07-30,14.49,14.68,14.35,14.57,10.361842,845300
2012-07-31,14.45,14.57,13.88,13.99,9.94936,2137200
2012-08-01,14.09,14.34,13.98,14.17,10.077371,687300
2012-08-02,13.83,13.98,13.58,13.88,9.962528,496200
2012-08-03,14.01,14.5,13.85,14,10.048658,669100
2012-08-06,14.11,14.11,13.77,14.05,10.08455,587200
2012-08-07,14.15,14.2,13.93,14.03,10.070194,610100
2012-08-08,14.03,14.2,13.83,13.97,10.027128,583000
2012-08-09,13.97,14.3,13.97,14.21,10.199392,1149200
2012-08-10,14.11,14.38,14.01,14.24,10.220924,314500
2012-08-13,14.17,14.5,14.12,14.29,10.256811,769200
2012-08-14,14.39,14.56,14.33,14.41,10.342942,729400
2012-08-15,14.47,14.54,14.41,14.52,10.421897,540700
2012-08-16,14.47,14.63,14.43,14.52,10.421897,569300
2012-08-17,14.6,14.61,14.41,14.51,10.414721,574500
2012-08-20,14.53,14.59,14.45,14.56,10.450606,568400
2012-08-21,14.59,14.65,14.46,14.48,10.393188,825900
2012-08-22,14.48,14.49,14.24,14.39,10.328587,854900
2012-08-23,14.37,14.5,14.16,14.25,10.228102,488800
2012-08-24,14.16,14.3,14.05,14.17,10.170681,471600
2012-08-27,14.14,14.28,14.08,14.2,10.192215,331100
2012-08-28,14.21,14.3,14.15,14.2,10.192215,316000
2012-08-29,14.28,14.55,14.27,14.52,10.421897,699400
2012-08-30,14.45,14.48,14.17,14.23,10.213746,754800
2012-08-31,14.3,14.4,14.16,14.25,10.228102,345900
2012-09-04,14.25,14.3,14.04,14.25,10.228102,476000
2012-09-05,14.2,14.2,13.87,13.92,9.99124,917500
2012-09-06,14,14.4,13.93,14.2,10.192215,1416400
2012-09-07,14.15,14.42,14.15,14.35,10.299875,894600
2012-09-10,14.31,14.45,14.3,14.37,10.314232,640700
2012-09-11,14.35,14.6,14.28,14.48,10.393188,564700
2012-09-12,14.64,14.95,14.42,14.63,10.500849,1257500
2012-09-13,14.6,14.89,14.58,14.81,10.630049,673900
2012-09-14,14.84,15.68,14.81,15.33,11.003284,2413000
2012-09-17,15.38,15.48,15.08,15.19,10.902796,1175000
2012-09-18,15.15,15.15,14.98,15.03,10.787954,954000
2012-09-19,15,15.11,14.9,14.99,10.759247,1069700
2012-09-20,14.9,15.02,14.61,14.91,10.701824,839800
2012-09-21,15,15.01,14.87,14.98,10.752069,865800
2012-09-24,14.99,15.02,14.89,14.98,10.752069,355900
2012-09-25,14.9,15.01,14.66,14.71,10.558273,950100
2012-09-26,14.74,14.74,14.29,14.36,10.307054,637300
2012-09-27,14.36,14.98,14.33,14.85,10.65876,1338300
2012-09-28,14.86,15.2,14.64,15.11,10.845374,1111900
2012-10-01,15.2,15.2,14.83,14.95,10.730536,828600
2012-10-02,14.95,15.14,14.61,14.7,10.551094,675500
2012-10-03,14.66,14.84,14.6,14.78,10.608514,341700
2012-10-04,14.88,15.06,14.78,14.86,10.665936,639100
2012-10-05,14.86,15.01,14.73,14.84,10.65158,708400
2012-10-08,14.74,14.9,14.7,14.84,10.65158,383400
2012-10-09,14.94,15.12,14.69,14.8,10.622869,590400
2012-10-10,14.87,15.02,14.67,14.84,10.65158,579200
2012-10-11,14.94,15.06,14.64,14.89,10.687469,558500
2012-10-12,14.78,15.03,14.65,14.95,10.730536,490000
2012-10-15,15.01,15.19,14.96,15.16,10.881264,908200
2012-10-16,15.15,15.49,15.14,15.22,10.924331,1327800
